Cd,Family,Genus,Species
CALODE,Clusiaceae,Calophyllum,depressinervosum
LITHLU,Fagaceae,Lithocarpus,lucidus
EUGEFL,Myrtaceae,Eugenia,flosculifera
AGLAS1,Meliaceae,Aglaia,erythrosperma
CRY1SC,Lauraceae,Cryptocarya,scortechinii
KNEMCO,Myristicaceae,Knema,conferta
HORSCR,Myristicaceae,Horsfieldia,crassifolia
DRA2DA,Anacardiaceae,Dracontomelum,dao
AGLAS2,Meliaceae,Aglaia,species 2
PANDMO,Pandanaceae,Pandanus,monotheca
CASECL,Flacourtiaceae,Casearia,clarkei
ARCHCO,Leguminosae: Mimosa-Group,Archidendron,contortum
ARCHGL,Leguminosae: Mimosa-Group,Archidendron,globosum
PSYD10,Rubiaceae,Psydrax,species 10
TERNCO,Theaceae,Ternstroemia,corneri
HORSPU,Myristicaceae,Horsfieldia,punctatifolia
GARCGR,Clusiaceae,Garcinia,griffithii
RINOHO,Violaceae,Rinorea,horneri
CHEIMA,Euphorbiaceae,Cheilosa,montana
CYATPR,Annonaceae,Cyathocalyx,pruniferus
BRIDPU,Euphorbiaceae,Bridelia,pustulata
DIALWA,Leguminosae: Dialium-Group,Dialium,wallichii
STERHI,Sterculiaceae,Sterculia,hispidissima
CRUDCU,Leguminosae: Caesalpinia-Group,Crudia,curtisii
ILEXS1,Aquifoliaceae,Ilex,cymosa
EUGEGP,Myrtaceae,Eugenia,glauca
PIMEMA,Euphorbiaceae,Pimelodendron,macrocarpum
ALSEP1,Lauraceae,Alseodaphne,perakensis
MEL1CA,Anacardiaceae,Melanochyla,caesia
POL1CL,Annonaceae,Polyalthia,clavigera
DEHAIN,Lauraceae,Dehaasia,incrassata
LITSRE,Lauraceae,Litsea,resinosa
HORSWA,Myristicaceae,Horsfieldia,wallichii
LITSCO,Lauraceae,Litsea,costalis
MESULE,Clusiaceae,Kayea,lepidota
MEMEPA,Melastomataceae,Memecylon,paniculatum
EUGE16,Myrtaceae,Eugenia,species 16
KNEMIN,Myristicaceae,Knema,intermedia
HORSTO,Myristicaceae,Horsfieldia,tomentosa
ENDOCA,Myristicaceae,Endocomia,canarioides
DIOSDI,Ebenaceae,Diospyros,diepenhorstii
SLOAJA,Elaeocarpaceae,Sloanea,javanica
PTELLA,Boraginaceae,Pteleocarpa,lamponga
EUGELE,Myrtaceae,Eugenia,leptostemon
EUGEO1,Myrtaceae,Eugenia,oblongifolia
CRY2GR,Crypteroniaceae,Crypteronia,griffithii
MANGLA,Anacardiaceae,Mangifera,lagenifera
LITSM1,Lauraceae,Litsea,machilifolia
TRIVNE,Annonaceae,Trivalvaria,nervosa
XANTEL,Polygalaceae,Xanthophyllum,ellipticum
MALLGR,Euphorbiaceae,Mallotus,griffithianus
EUODRO,Rutaceae,Melicope,lunu-ankenda
TERMCI,Combretaceae,Terminalia,citrina
PERTEU,Rubiaceae,Pertusadina,eurhyncha
DACRNE,Burseraceae,Dacryodes,nervosa
PAR4PA,Anacardiaceae,Parishia,paucijuga
TALACA,Magnoliaceae,Magnolia,candollii
PLA2GR,Lecythidaceae,Planchonia,grandis
BACCM2,Euphorbiaceae,Baccaurea,maingayi
AGLAME,Meliaceae,Aglaia,simplicifolia
CINNSI,Lauraceae,Cinnamomum,sintoc
TRI4S1,Sapindaceae,Xerospermum,sp 1
HERIJA,Sterculiaceae,Heritiera,javanica
ARTOKE,Moraceae,Artocarpus,kemando
ENDIM1,Lauraceae,Endiandra,maingayi
PTYCCA,Euphorbiaceae,Ptychopyxis,caput-medusae
HORSFL,Myristicaceae,Horsfieldia,flocculosa
EUONJA,Celastraceae,Euonymus,javanicus
PODOMO,Podocarpaceae,Podocarpus,motleyi
EUGEV1,Myrtaceae,Eugenia,valdevenosa
EUGEC2,Myrtaceae,Eugenia,cerina
LITHCY,Fagaceae,Lithocarpus,cyclophorus
XYLOEL,Annonaceae,Xylopia,elliptica
GORDSI,Symplocaceae,Gordonia,singaporiana
EUGE10,Myrtaceae,Eugenia,species 10
CALOWI,Clusiaceae,Calophyllum,wallichianum
CHIOCA,Oleaceae,Chionanthus,calophyllus
BEILDI,Lauraceae,Beilschmiedia,dictyoneura
AGLARB,Meliaceae,Aglaia,malaccensis
DEHAPO,Lauraceae,Dehaasia,polyneura
ANI1CO,Dipterocarpaceae,Anisoptera,costata
CASTCU,Fagaceae,Castanopsis,curtisii
DYSOFL,Meliaceae,Dysoxylum,flavescens
DIOSL2,Ebenaceae,Diospyros,lanceifolia
IXORNI,Rubiaceae,Ixora,nigricans
GOMPCA,Icacinaceae,Gomphandra,quadrifida
ALSES2,Lauraceae,Alseodaphne,species 2
AGLAS4,Meliaceae,Aglaia,species 4
ALLOCO,Sapindaceae,Allophylus,cobbe
EUGEDY,Myrtaceae,Eugenia,dyeriana
XYLOFS,Annonaceae,Xylopia,fusca
KIB2CO,Monimiaceae,Kibara,coriacea
POL1HY,Annonaceae,Polyalthia,hypoleuca
LITSNI,Lauraceae,Litsea,nidularis
EUGERU,Myrtaceae,Eugenia,rugosa
HOPESA,Dipterocarpaceae,Hopea,sangal
AGLAGA,Meliaceae,Aglaia,silvestris
CASTIN,Fagaceae,Castanopsis,inermis
MASTPE,Cornaceae,Mastixia,pentandra
ENGESE,Juglandaceae,Engelhardtia,serrata
EUGE08,Myrtaceae,Eugenia,species 8
XANTWR,Polygalaceae,Xanthophyllum,wrayi
PAR5XE,Sapindaceae,Paranephelium,xestophyllum
EUGEPA,Myrtaceae,Eugenia,pachyphylla
CALORU,Clusiaceae,Calophyllum,rupicola
HOMACA,Flacourtiaceae,Homalium,caryophyllaceum
SANTCO,Burseraceae,Santiria,conferta
STERC2,Sterculiaceae,Sterculia ,cordata
DACRIN,Burseraceae,Dacryodes,incurvata
ARDILA,Myrsinaceae,Ardisia,lanceolata
MILILO,Annonaceae,Miliusa,longipes
MANGQL,Anacardiaceae,Mangifera,longipetiolata
AGLAS7,Meliaceae,Aglaia,species 7
TRIVPU,Annonaceae,Trivalvaria,pumila
FICUSI,Moraceae,Ficus,sinuata
FICUV1,Moraceae,Ficus,vasculosa
TRI4AC,Sapindaceae,Trigonachras,acutangulum
SYMPCO,Symplocaceae,Symplocos,cochinchinensis
ARTHDI,Araliaceae,Arthrophyllum,diversifolium
CHISGL,Meliaceae,Chisocheton,glomeratus
ENDIKI,Lauraceae,Endiandra,kingiana
PAYEMA,Sapotaceae,Payena,maingayi
LEPITH,Sapindaceae,Lepisanthes,tetraphylla
MIC2VA,Celastraceae,Microtropis,valida
GARCAT,Clusiaceae,Garcinia,atroviridis
AGLAS3,Meliaceae,Aglaia,cf. teysmanniana
SHORMU,Dipterocarpaceae,Shorea,multiflora
BEILS2,Lauraceae,Beilschmiedia,species 2
PANDYV,Pandanaceae,Pandanus,yvonii
STELCA,Annonaceae,Stelechocarpus,cauliflorus
DEHALO,Lauraceae,Dehaasia,longipetiolata
KNEMMA,Myristicaceae,Knema,malayana
ELAEGR,Elaeocarpaceae,Elaeocarpus,mastersii
